codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
PIR-FA9F54;Albendazol 40mg/ml - Frasco;Albendazol;40mg/ml;;quebra automática incerta · via de administração não inferida
PIR-4458A5;Amoxicilina 250mg/5ml - Frasco;Amoxicilina;250mg/5ml;;quebra automática incerta · via de administração não inferida
PIR-B90516;Cefalexina 250mg/5ml - Frasco;Cefalexina;250mg/5ml;;quebra automática incerta · via de administração não inferida
PIR-1ACF05;Dexclorfeniramina 0,4mg/5ml (Polaramine) - Frasco;Dexclorfeniramina;0,4mg/5ml;;quebra automática incerta · via de administração não inferida
PIR-851D09;Dipirona 500mg/ml - Frasco (gotas);Dipirona;500mg/ml;gotas;via de administração não inferida
PIR-4531FD;DIU de Cobre - Unidade;DIU de Cobre - Unidade;;;quebra automática incerta · via de administração não inferida
PIR-E092D4;Glicosímetro - Unidade;Glicosímetro - Unidade;;;quebra automática incerta · via de administração não inferida
PIR-EC86E2;Haloperidol Decanoato 50mg/ml - Ampola;Haloperidol Decanoato;50mg/ml;;quebra automática incerta · via de administração não inferida
PIR-9AEB27;Ibuprofeno 50mg/ml (Alivium) - Frasco (gotas);Ibuprofeno;50mg/ml;gotas;via de administração não inferida
PIR-DB075A;Insulina NPH - Frasco 10 ml;Insulina NPH - Frasco;10 ml;;quebra automática incerta · via de administração não inferida
PIR-736085;Insulina NPH - Refil 3 ml;Insulina NPH - Refil;3 ml;;quebra automática incerta · via de administração não inferida
PIR-7938EF;Insulina Regular - Frasco 10ml;Insulina Regular - Frasco;10ml;;quebra automática incerta · via de administração não inferida
PIR-4BDAED;Insulina Regular - Refil 3 ml;Insulina Regular - Refil;3 ml;;quebra automática incerta · via de administração não inferida
PIR-E4F4F2;Lancetas Automáticas - Unidade;Lancetas Automáticas - Unidade;;;quebra automática incerta · via de administração não inferida
PIR-DE9F21;Medroxiprogesterona 150mg/ml (Contracept/Demedrox) - Ampola;Medroxiprogesterona;150mg/ml;;quebra automática incerta · via de administração não inferida
PIR-60AB61;Noretisterona + Estradiol 50+5mg/ml (Noregyna/Mesigyna) - Ampola;Noretisterona + Estradiol;50+5mg/ml;;quebra automática incerta · via de administração não inferida
PIR-9A0834;Paracetamol 200mg/ml - Frasco;Paracetamol;200mg/ml;;quebra automática incerta · via de administração não inferida
PIR-AC7D2A;Sais de Reidratação (soro oral) - Sachê;Sais de Reidratação (soro oral) - Sachê;;;quebra automática incerta · via de administração não inferida
PIR-2A7262;Seringas 1ml (para aplicação de insulina) - Unidade;Seringas;1ml;;quebra automática incerta · via de administração não inferida
PIR-3D61D9;Sulfametoxazol + Trimetoprima 40+8mg/ml (Bactrim) - Frasco;Sulfametoxazol + Trimetoprima;40+8mg/ml;;quebra automática incerta · via de administração não inferida
PIR-6715B0;Sulfato Ferroso 125mg/ml - Frasco (gotas);Sulfato Ferroso;125mg/ml;gotas;via de administração não inferida
PIR-A45D6F;Tiras Reagentes para Dosagem de Glicemia - Frasco;Tiras Reagentes para Dosagem de Glicemia - Frasco;;;quebra automática incerta · via de administração não inferida
PIR-FA971A;Ácido Valpróico 50mg/ml (Depakene) - Frasco;Ácido Valpróico;50mg/ml;;quebra automática incerta · via de administração não inferida
